"id";"hand";"brand";"model";"isYahoo";"joined";"yahooTaskFinished"
"1";"Right";"samsung";"GT-I9505";"0";"1427261464034";NULL
"2";"Right";"motorola";"XT1032";"1";"1427261642095";NULL
"3";"Right";"google";"Nexus 7";"0";"1427261565001";NULL
"4";"Left";"google";"Nexus 5";"0";"1427275242609";NULL
"5";"Right";"Sony";"D5803";"0";"1427281405513";NULL
"6";"Right";"SBM";"SBM205SH";"1";"1427281493605";NULL
"7";"Right";"SG";"402SH";"1";"1427282201706";NULL
"8";"Right";"DOCOMO";"SH-06E";"1";"1427282615119";NULL
"9";"Right";"google";"Nexus 7";"1";"1427282790025";NULL
"10";"Right";"google";"Nexus 7";"1";"1427283136371";NULL
"11";"Right";"asus";"ME173X";"1";"1427283012468";NULL
"12";"Right";"asus";"ME173X";"1";"1427284238916";"1427472228505"
"13";"Right";"samsung";"SC-04F";"1";"1427285603581";NULL
"14";"Right";"google";"Nexus 5";"1";"1427285673076";NULL
"15";"Right";"docomo";"SO-04E";"1";"1427286476805";NULL
"16";"Right";"KDDI";"LGL23";"0";"1427287157591";NULL
"17";"Right";"docomo";"SO-04E";"1";"1427290166910";NULL
"18";"Right";"docomo";"SO-04E";"1";"1427290683789";NULL
"19";"Right";"KDDI";"AST21";"1";"1427292307268";NULL
"20";"Right";"SG";"305SH";"1";"1427292456611";NULL
"21";"Right";"lge";"L-01F";"0";"1427296029310";NULL
"22";NULL;"lge";"L-01F";"0";"1427296029310";NULL
"23";"Right";"docomo";"SO-04E";"1";"1427296645016";NULL
"24";"Right";"docomo";"SO-01F";"1";"1427297965781";NULL
"25";"Right";"SG";"305SH";"1";"1427300077829";NULL
"26";"Right";"google";"Nexus 5";"1";"1427300204729";NULL
"27";"Right";"samsung";"SC-01F";"1";"1427301505281";NULL
"28";"Right";"asus";"ASUS_T00P";"1";"1427302992513";NULL
"29";"Right";"KDDI";"SHL25";"1";"1427311988431";NULL
"30";"Right";"samsung";"SC-04E";"1";"1427312495881";NULL
"31";"Left";"Sony";"D6603";"0";"1427318788203";NULL
"32";"Right";"htc";"HTL22";"1";"1427323841638";"1427617535170"
"33";"Right";"docomo";"SO-04E";"1";"1427324057470";NULL
"34";"Right";"docomo";"SO-04E";"1";"1427331296793";NULL
"35";"Right";"docomo";"SO-04E";"1";"1427331653912";NULL
"36";"Right";"KDDI";"SOL26";"1";"1427333085103";NULL
"37";"Right";"KDDI";"SOL25";"1";"1427334935354";NULL
"38";"Right";"DOCOMO";"F-05F";"1";"1427336377330";NULL
"39";"Right";"SHARP";"SH90B";"1";"1427332591424";NULL
"40";"Right";"Huawei";"302HW";"1";"1427338882836";NULL
"41";"Right";"SBM";"DM014SH";"1";"1427339875998";NULL
"42";"Right";"KDDI";"SCL23";"1";"1427341951244";NULL
"43";"Right";"SG";"305SH";"1";"1427342732723";NULL
"44";"Right";"docomo";"SO-04E";"1";"1427351630396";NULL
"45";"Right";"DOCOMO";"F-02F";"1";"1427363425449";NULL
"46";"Right";"lge";"L-01F";"1";"1427363444572";NULL
"47";"Right";"google";"Nexus 5";"1";"1427370054392";NULL
"48";"Right";"google";"Nexus 5";"1";"1427370305799";NULL
"49";"Right";"docomo";"SO-04E";"1";"1427325647097";NULL
